l,t
900000,10970.392807722092
901000,10982.077865600586
902000,10994.71405506134
903000,11006.319875240326
904000,11018.059824228287
905000,11029.662897348404
906000,11042.281127929688
907000,11053.946214437485
908000,11065.647026777267
909000,11077.13305568695
910000,11089.850257873535
911000,11101.595889568329
912000,11113.317157506943
913000,11125.151454925537
914000,11137.812400102615
915000,11149.544384002686
916000,11161.308104991913
917000,11173.42422246933
918000,11186.092763662338
919000,11197.719207525253
920000,11209.367829084396
921000,11220.908754110336
922000,11233.639334201813
923000,11245.311200857162
924000,11256.874370574951
925000,11268.42995929718
926000,11281.058948516846
927000,11292.626517534256
928000,11304.291099786758
929000,11315.907176494598
930000,11328.644107580185
931000,11340.273715257645
932000,11351.929264307022
933000,11363.60668516159
934000,11376.156554698944
935000,11387.760150671005
936000,11399.31311249733
937000,11411.109688997269
938000,11423.830179929733
939000,11435.479142189026
940000,11449.571169376373
941000,11463.338713645935
942000,11475.1362991333
943000,11487.818924188614
944000,11499.526807308197
945000,11511.198554515839
946000,11522.80591416359
947000,11535.489788293839
948000,11547.212016105652
949000,11558.890427350998
950000,11570.442651510239
951000,11583.0991294384
952000,11594.751402139664
953000,11606.467616319656
954000,11618.183078289032
955000,11630.908107042313
956000,11642.74690937996
957000,11654.367276906967
958000,11666.12448644638
959000,11678.756976604462
960000,11690.630691051483
961000,11702.249358654022
962000,11713.955228567123
963000,11726.643161773682
964000,11738.458042860031
965000,11754.875918865204
966000,11766.490816354752
967000,11779.02769947052
968000,11790.623125076294
969000,11802.286243200302
970000,11813.952816009521
971000,11826.593649148941
972000,11838.103344917297
973000,11849.694525241852
974000,11861.300029277802
975000,11873.809836149216
976000,11885.43173122406
977000,11896.969430446625
978000,11908.481172084808
979000,11920.989659309387
980000,11932.543231725693
981000,11944.162629365921
982000,11955.71187877655
983000,11967.326498270035
984000,11979.884131669998
985000,11991.41612315178
986000,12003.023292303085
987000,12014.655886173248
988000,12027.281183481216
989000,12038.8236348629
990000,12052.983435869217
991000,12066.29050397873
992000,12078.847652435303
993000,12090.36591720581
994000,12101.901353359222
995000,12113.405838727951
996000,12125.957468271255
997000,12137.595927715302
998000,12149.162402153015
