r,l,t
3742.0952761769295,325,4328.349178552628
3743.9924136400223,322,4332.296036481857
5114.671186864376,4500,4387.165816783905
3733.5581906437874,362,4391.543721914291
1032.9890384078026,96,4392.740161180496
639.3338951468468,73,4393.673182964325
4354.8693108558655,1216,4408.22450709343
3739.2495810985565,573,4415.143087387085
5106.134078323841,4500,4472.23375082016
3745.8895459771156,348,4476.518857717514
4261.909782111645,443,4481.851484775543
4242.938445985317,437,4487.118762016296
645.9738618135452,76,4488.078380823135
5105.185521543026,4500,4542.962949037552
9783.499989449978,975,4554.700996160507
640.2824617624283,79,4555.701831579208
5129.848245859146,4500,4610.724556207657
4344.435081064701,434,4616.008374452591
9108.722226440907,4011,4665.430274248123
3749.683813750744,855,4677.204310417175
4252.424118459225,481,4682.998920679092
3749.6838042736053,387,4687.660098791122
4147.133223474026,418,4692.752453327179
5108.031198263168,4500,4747.828028678894
4148.08178883791,537,4754.158997774124
4340.640813827515,400,4758.902956485748
9563.055568218231,1967,4783.086356639862
5129.848232150078,4500,4837.484009504318
3663.3642476797104,308,4841.267355918884
3630.1644221544266,344,4845.379166841507
3741.146716594696,427,4850.519728183746
5144.076733291149,4500,4904.801166296005
4356.766445159912,501,4910.712567806244
3747.786680519581,343,4914.733186006546
4160.4131526350975,451,4921.611790180206
5084.317037940025,4500,4975.685979604721
5127.951108515263,4500,5028.5197677612305
5154.510973513126,4500,5081.242044210434
4255.269805252552,439,5086.35590839386
3743.043853521347,274,5089.585266828537
3743.9924097657204,487,5095.2582585811615
3655.7757214307785,340,5099.224448680878
4342.537936985493,475,5107.904615879059
2210.160207092762,241,5111.692561864853
3734.506743848324,451,5116.870346546173
3747.786677658558,357,5121.979484796524
2184.5489045381546,217,5124.498912811279
5089.059887051582,4500,5177.243445634842
4356.766445994377,341,5181.2531061172485
5167.790917336941,4500,5234.055800199509
3748.7352396845818,362,5238.29131770134
3747.7866839170456,388,5242.811553478241
649.7681248188019,73,5243.69530582428
3662.415676653385,619,5250.991603136063
3743.992413699627,329,5254.787383079529
3655.775711297989,520,5260.784037590027
8081.787528634071,730,5270.203702926636
9875.333337843418,561,5276.8205025196075
9846.277798473835,692,5284.791528463364
5127.9511123895645,4500,5337.394359588623
4162.310291290283,508,5343.251071691513
638.3853302001953,75,5344.1492693424225
3740.198145508766,299,5347.605245113373
5134.591063082218,4500,5399.987572193146
4148.081786453724,415,5404.792098999023
3743.9924178123474,368,5414.0864408016205
9812.722227990627,843,5423.749732494354
3743.043840587139,864,5433.8228895664215
9817.611079275608,821,5443.517749786377
3642.4957751631737,286,5446.909882545471
1031.0919013023376,93,5448.013244867325
9825.555595219135,785,5457.061519384384
3749.683809518814,466,5463.407200098038
3737.3524518609047,675,5471.240031480789
3743.9924100637436,450,5476.487921714783
1031.0919009447098,92,5477.622986078262
9835.166671812534,742,5486.192489624023
4154.721746087074,405,5490.910705327988
639.3338963389397,74,5491.845896959305
3747.7866781949997,391,5496.400894880295
5160.202368795872,4500,5549.03085231781
2183.6003344655037,227,5551.678191661835
5174.430873513222,4500,5604.12294626236
9055.666650533676,4250,5654.774139404297
9821.388893663883,804,5664.108738899231
5121.311125814915,4500,5720.594936609268
3738.3010196089745,361,5724.800175905228
3641.5472210645676,527,5730.844903707504
3747.7866837382317,325,5734.593456745148
8069.456153869629,1081,5746.997444152832
5182.019404768944,4500,5799.347119092941
4252.424113929272,392,5804.847552537918
4252.424109876156,346,5808.877554893494
4153.77318239212,355,5813.117539167404
3634.9072481393814,315,5816.772170782089
9842.000012874603,711,5824.988411903381
5198.14503210783,4500,5877.467437744141
9837.44441229105,732,5885.968152999878
7257.483135640621,4500,5938.623954296112
3743.043842971325,288,5941.968618631363
1030.1433374285698,94,5943.081763744354
5398.292574286461,400,5948.667824983597
4254.321248471737,402,5953.349525213242
3736.4038739204407,339,5957.3077800273895
3645.341475725174,330,5961.144919157028
3643.44435274601,395,5965.719078779221
9773.222186744213,1021,5977.619739294052
3733.5581800937653,355,5981.78370475769
3638.701516032219,273,5984.967602968216
3743.992411494255,425,5989.968943834305
5161.150922060013,4500,6048.228835582733
3733.5581777095795,297,6051.927403211594
3645.3414808511734,299,6055.445623159409
5196.2478929162025,4500,6108.301720619202
3632.061552107334,387,6112.791261672974
3739.24957126379,335,6116.681564092636
2222.4915633797646,743,6125.210321187973
1032.9890344142914,87,6126.285724639893
643.1281622648239,74,6127.18500828743
4155.670322954655,446,6132.353932857513
9853.666672587395,659,6139.980968236923
642.179595708847,74,6140.869429588318
8081.787518501282,877,6151.93844127655
3710.792578458786,373,6156.262902498245
4250.526986479759,464,6161.605788707733
9870.499985694885,583,6168.2929251194
646.922424018383,68,6169.143307924271
4156.618887424469,727,6177.500068902969
3743.043838620186,272,6180.670774459839
4149.030352473259,396,6185.259509086609
3736.40387403965,418,6190.175421953201
3747.7866822481155,305,6194.677135705948
3743.992409348488,343,6198.6341598033905
9875.444419801235,561,6205.100556373596
3745.889543712139,315,6208.7518355846405
1032.9890345931053,92,6209.843780517578
5339.4814430475235,491,6215.530929803848
4157.567452967167,428,6220.476176738739
5165.893777370453,4500,6273.162202835083
4148.08178627491,327,6276.9565715789795
4163.258849620819,395,6281.6100244522095
3740.198144674301,317,6285.277089595795
4245.784155488014,414,6291.057246208191
4150.927489876747,344,6295.0271236896515
4162.310279905796,382,6299.453455209732
8081.787518441677,1051,6311.506748914719
7252.740300834179,651,6323.477428436279
9833.55557602644,749,6332.201790094376
3741.146714389324,312,6335.8666269779205
9825.111109912395,787,6345.925164699554
5138.385330319405,4500,6398.538417816162
9845.88890337944,694,6406.601660013199
4246.7327100634575,327,6410.406414985657
3743.992401123047,250,6413.294215917587
3743.9924198389053,485,6418.90722322464
5101.391220450401,4500,6471.43515753746
3743.9924063682556,325,6475.218293190002
4245.784141242504,427,6480.140489816666
4246.732705771923,619,6488.299911022186
3744.9409791231155,303,6491.825312376022
9468.944436192513,2390,6519.279465675354
3739.2495663166046,271,6522.419072628021
4162.310277938843,408,6527.244143247604
9849.055488348007,680,6536.070259332657
9877.11106967926,553,6542.400574684143
7251.79173129797,681,6550.167993783951
4241.989880681038,371,6554.441410779953
3631.1129786372185,293,6557.817753076553
3748.735248565674,366,6562.063490867615
3747.7866680026054,364,6566.242927312851
3747.786668419838,548,6572.571716308594
4246.732717990875,376,6576.920213699341
4152.824613332748,322,6580.624014139175
5179.173705339432,4500,6638.833594560623
3736.403879702091,327,6642.678779125214
3641.5472127199173,275,6645.870919704437
9862.555541813374,619,6653.005277872086
3665.26138061285,385,6657.459767341614
3747.7866748571396,317,6661.123013496399
3743.992406487465,365,6665.409288883209
4244.835579693317,364,6669.80078125
5177.276556074619,4500,6722.547883033752
3645.34147977829,370,6726.82874083519
4354.869310557842,405,6732.47903752327
4159.464589834213,404,6737.141618490219
4254.321250915527,352,6741.2101311683655
4356.766432821751,389,6745.719762325287
3734.506747364998,343,6749.674033641815
9853.499984681606,660,6757.2371253967285
4241.989874839783,333,6761.194092273712
3631.112988114357,325,6765.051444530487
641.231029510498,71,6765.924692153931
3748.73524081707,356,6770.05278801918
3735.4553069472313,359,6774.297235250473
5118.465426266193,4500,6827.434575796127
3740.1981369256973,385,6832.910457849503
3734.5067452788353,345,6836.940174341202
3635.855819642544,361,6841.127126216888
9879.61107814312,542,6847.402954339981
9628.777762234211,1671,6866.616996765137
1028.2462062835693,103,6867.855115890503
3744.940971016884,295,6871.28090596199
9821.444452643394,804,6881.530778884888
3743.043838560581,643,6888.935851097107
4151.876056790352,436,6894.074908733368
3748.7352445721626,393,6898.674417257309
3630.1644154191017,316,6902.349549531937
3737.352446258068,415,6907.151118040085
648.8195576667786,73,6908.032032966614
3742.0952757000923,302,6911.576819658279
4246.73271894455,375,6915.929912805557
3745.889546275139,330,6921.918175458908
4249.578412055969,394,6928.562921047211
9823.111093461514,796,6938.948273420334
3745.889546453953,293,6942.383284330368
4242.938444316387,396,6946.936827659607
7245.151764690876,1533,6964.5050320625305
3749.6838126778603,305,6968.024046897888
9830.166677415371,765,6976.791477203369
