l,t
616000,30579.3605427742
617000,30630.39314866066
618000,30681.107652425766
619000,30732.366470575333
620000,30783.51403236389
621000,30834.484414577484
622000,30885.622342586517
623000,30936.198904037476
624000,30986.814259290695
625000,31038.053364038467
626000,31089.505410432816
627000,31140.99950361252
628000,31191.846506118774
629000,31242.710593938828
630000,31293.529022932053
631000,31344.24695110321
632000,31396.100435733795
633000,31446.595953941345
634000,31497.85470867157
635000,31548.57515478134
636000,31599.824217557907
637000,31651.05354833603
638000,31702.673624515533
639000,31753.601131916046
640000,31805.17334008217
641000,31855.95565891266
642000,31906.524921655655
643000,31957.181800365448
644000,32008.396274089813
645000,32058.947830438614
646000,32109.882321834564
647000,32161.77853989601
648000,32213.894308805466
649000,32265.20309472084
650000,32316.615633249283
651000,32367.397475004196
652000,32418.427041769028
653000,32469.83786058426
654000,32521.134912014008
655000,32572.352053642273
656000,32623.58125782013
657000,32674.356964349747
658000,32725.9423930645
659000,32777.078176021576
660000,32828.07476019859
661000,32878.671077013016
662000,32929.506304979324
663000,32980.41989374161
664000,33031.14846301079
665000,33081.787991046906
666000,33132.61417841911
667000,33183.39989709854
668000,33234.75969958305
669000,33285.81427335739
670000,33336.621908187866
671000,33387.23135304451
672000,33437.99947094917
673000,33488.640325307846
674000,33539.188522577286
675000,33589.83500337601
676000,33640.91674923897
677000,33691.894978284836
678000,33742.69680428505
679000,33793.40830588341
680000,33844.59581232071
681000,33895.2959253788
682000,33946.22207188606
683000,33997.55145120621
684000,34048.31550908089
685000,34099.48457431793
686000,34150.87431311607
687000,34201.78658556938
688000,34252.618763923645
689000,34303.356310129166
690000,34354.23346543312
691000,34405.06302857399
692000,34455.93465805054
693000,34506.76111483574
694000,34558.289612054825
695000,34609.353905677795
696000,34660.76735043526
697000,34711.771684885025
698000,34763.19154024124
699000,34814.79696035385
700000,34867.146656513214
701000,34918.830932855606
702000,34970.24477791786
703000,35020.93338060379
704000,35071.934121370316
705000,35122.53535413742
706000,35173.36192512512
707000,35224.42389583588
708000,35275.28070688248
709000,35326.85336089134
710000,35378.468826293945
711000,35430.24787068367
712000,35481.23695445061
713000,35532.04498267174
714000,35582.97691655159
715000,35634.14341211319
716000,35684.90129685402
717000,35736.24989390373
718000,35787.45784664154
719000,35838.65729498863
720000,35889.63096213341
721000,35940.508382320404
722000,35991.421612501144
723000,36042.7124915123
724000,36093.39466333389
725000,36144.081176519394
726000,36194.80045890808
727000,36245.70956993103
728000,36296.56647825241
729000,36347.41464304924
730000,36397.937772750854
731000,36448.726736307144
732000,36499.55985212326
733000,36550.48711872101
734000,36601.73017883301
735000,36652.46667647362
736000,36702.96781921387
737000,36753.73064208031
738000,36804.58487176895
739000,36855.32328748703
740000,36906.34945440292
741000,36957.31185531616
742000,37008.68932247162
743000,37059.7786757946
744000,37110.91608262062
745000,37162.64427733421
746000,37213.21428465843
747000,37264.30385971069
748000,37315.58270955086
749000,37366.59802889824
750000,37417.255506277084
751000,37469.097710609436
752000,37520.08858847618
753000,37571.308832645416
754000,37621.96313452721
755000,37672.67166829109
756000,37723.407373189926
757000,37774.40350532532
758000,37825.76314282417
759000,37876.85877490044
760000,37927.789892435074
761000,37978.65466475487
762000,38029.880252599716
763000,38080.823108911514
764000,38131.567248106
765000,38182.40386176109
766000,38233.84668946266
767000,38284.90742468834
768000,38336.200521469116
769000,38387.618411540985
770000,38438.65758347511
771000,38489.81516337395
772000,38540.897399902344
773000,38592.00375676155
774000,38642.98951482773
775000,38694.108434677124
776000,38745.015498161316
777000,38796.394568920135
778000,38846.914853811264
779000,38898.03206396103
780000,38948.95111775398
781000,38999.931710481644
782000,39050.8749191761
783000,39102.30287718773
784000,39153.38177442551
785000,39205.52795124054
786000,39256.54520368576
787000,39308.12026262283
788000,39360.691547870636
